ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_173_DCM_0.22-3_G_scaffold85527_1_gene92626	TARA_196_SRF_0.22-3_G_scaffold223921_1_gene268925	TARA_180_SRF_0.22-3_G_C7171745_1_gene424645	TARA_067_SRF_0.22-0.45_G_scaffold144377_1_gene142735	TARA_082_DCM_0.22-3_G_scaffold109576_1_gene104882	TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	TARA_067_SRF_lt-0.22_G_scaffold110274_1_gene108132	TARA_082_SRF_0.22-3_G_scaffold160868_1_gene160643	TARA_196_SRF_0.22-3_G_scaffold167694_1_gene185363	TARA_206_SRF_lt-0.22_G_scaffold1112_3_gene5143	TARA_188_SRF_0.22-3_G_scaffold199525_1_gene246819	TARA_173_DCM_0.22-3_G_scaffold85576_1_gene92682	TARA_180_SRF_0.22-3_G_C7013134_1_gene356550	TARA_180_SRF_lt-0.22_G_scaffold82597_2_gene233135	TARA_210_SRF_0.22-3_G_scaffold21461_1_gene17795	TARA_188_DCM_lt-0.22_G_scaffold11894_2_gene41265	TARA_175_SRF_0.22-3_G_scaffold135720_1_gene142538	TARA_180_SRF_0.22-3_G_scaffold81862_1_gene125059
TARA_036_SRF_0.22-1.6_G	TARA_036_SRF	Pico	SRF	Coastal	IO	20.8183	63.5047	5	18	25.681369	36.525962	0.3575	0.1415	1.143	0.205491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_038_DCM_0.22-1.6_G	TARA_038_DCM	Pico	DCM	Trades	IO	19.0258	64.6227	25	45	25.607735	36.549506	0.417	1.858	1.625	0.185922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_038_SRF_0.22-1.6_G	TARA_038_SRF	Pico	SRF	Trades	IO	19.0393	64.4913	5	20	26.313595	36.618044	0.337	0.4195	1.278	0.113641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_039_DCM_0.22-1.6_G	TARA_039_DCM	Pico	DCM	Trades	IO	18.5745	66.4895	25	26	26.692435	36.40162	0.2465	0.0675	1.2415	0.196803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_041_DCM_0.22-1.6_G	TARA_041_DCM	Pico	DCM	Trades	IO	14.56	70.0117	70	25	26.317294	36.384231	1.348	15.2	5.774	0.224545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_041_SRF_0.22-1.6_G	TARA_041_SRF	Pico	SRF	Trades	IO	14.6067	69.9775	5	25	29.151544	36.0499	0.1565	0.057	1.3865	0.092377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_042_DCM_0.22-1.6_G	TARA_042_DCM	Pico	DCM	Trades	IO	5.9994	73.8978	80	32	27.9561	35.044342	0.2505	0.741	2.7335	0.228999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_042_SRF_0.22-1.6_G	TARA_042_SRF	Pico	SRF	Trades	IO	6.0001	73.8955	5	41	30.12785	34.56775	0.0765	0.022	2.171	0.080016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_045_SRF_0.22-1.6_G	TARA_045_SRF	Pico	SRF	Trades	IO	0.0023	71.6311	5	43	30.59345	35.0481	NA	NA	NA	0.058503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_048_SRF_0.22-1.6_G	TARA_048_SRF	Pico	SRF	Trades	IO	-9.3921	66.4236	5	18	29.818108	34.184183	0.0825	0.07475	2.22425	0.077086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_052_DCM_0.22-1.6_G	TARA_052_DCM	Pico	DCM	Trades	IO	-16.9539	54.0073	70	57	26.129767	34.847833	0.159	0.4675	2.824	0.22414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_052_SRF_0.22-1.6_G	TARA_052_SRF	Pico	SRF	Trades	IO	-16.957	53.9852	5	53	27.956483	34.54545	0.119	0	2.666	0.134305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_056_SRF_0.22-3_G	TARA_056_SRF	Pico	SRF	Coastal	IO	-15.3424	43.2965	5	82	27.296125	35.0302	0	0	2.812112	0.098701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_057_SRF_0.22-3_G	TARA_057_SRF	Pico	SRF	Coastal	IO	-17.0248	42.7401	5	17	26.553475	35.124517	NA	NA	NA	0.140592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_058_DCM_0.22-3_G	TARA_058_DCM	Pico	DCM	Coastal	IO	-17.3401	42.2821	70	37	24.365844	35.1687	0	2.593819	3.856196	0.204152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_062_SRF_0.22-3_G	TARA_062_SRF	Pico	SRF	Coastal	IO	-22.3369	40.3412	5	71	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_064_DCM_0.22-3_G	TARA_064_DCM	Pico	DCM	Coastal	IO	-29.5022	37.9904	60	140	22.208705	35.34241	0.0815	NA	1.7455	0.145836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_064_SRF_0.22-3_G	TARA_064_SRF	Pico	SRF	Coastal	IO	-29.5019	37.9889	5	140	22.2414	35.32467	0.084	0	1.7665	0.136664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_065_DCM_0.22-3_G	TARA_065_DCM	Pico	DCM	Coastal	IO	-35.2421	26.3048	30	66	21.72823	35.451512	NA	NA	NA	0.177651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_065_SRF_0.22-3_G	TARA_065_SRF	Pico	SRF	Coastal	IO	-35.1728	26.2868	5	78	21.76357	35.449638	NA	NA	NA	0.176479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_066_DCM_0.22-3_G	TARA_066_DCM	Pico	DCM	Coastal	SAO	-34.8901	18.0459	30	67	15.014	35.32305	0.34975	3.309875	2.5895	0.221666	0	0	0	0.007845817616671583	0	0	0.001644008871017558	0	0.0021855329198240017	0.0014960037036792792	0	0	0	0	0	0	0	0
TARA_066_SRF_0.22-3_G	TARA_066_SRF	Pico	SRF	Coastal	SAO	-34.9449	17.9189	5	91	15.013362	35.3233	0.343	3.34	2.7435	0.221666	0	0	0	0.004781531798658674	0	0.0016099704900017584	0	0	0.0012914712375024738	0	0	0	0	0	0	0	0	0
TARA_067_SRF_0.22-3_G	TARA_067_SRF	Pico	SRF	Coastal	SAO	-32.2401	17.7103	5	25	13.04322	34.870735	NA	NA	NA	0.765222	0	0	0	0.0044673575309009126	6.497803199825461e-4	0.03236629328057877	0.011937668215152223	0	0.002385605482504645	0.0051515382243412676	0	0	0	0	0	0	0	0
TARA_068_DCM_0.22-3_G	TARA_068_DCM	Pico	DCM	Trades	SAO	-31.0616	4.6617	40	210	16.75627	35.68462	0.227	1.08	2.436	0.355259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_068_SRF_0.22-3_G	TARA_068_SRF	Pico	SRF	Trades	SAO	-31.0616	4.6617	5	210	16.86368	35.686225	0.1455	0.939	1.9865	0.316174	0	0	0	0	0	0.006103368929048921	0	0	0	0	0	0	0	0	0	0	0	0
TARA_070_SRF_0.22-3_G	TARA_070_SRF	Pico	SRF	Trades	SAO	-20.4091	-3.1759	5	149	19.77001	36.35839	0.309	0.8015	1.1485	0.117466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_072_DCM_0.22-3_G	TARA_072_DCM	Pico	DCM	Trades	SAO	-8.7026	-17.9398	100	88	23.635845	36.60243	0.143	0.044	1.284	0.244384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_072_SRF_0.22-3_G	TARA_072_SRF	Pico	SRF	Trades	SAO	-8.8118	-17.9126	5	86	25.064425	36.41678	0.104	0.018	0.868	0.104143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_076_DCM_0.22-3_G	TARA_076_DCM	Pico	DCM	Trades	SAO	-20.999	-35.3216	130	31	22.233095	36.87312	0.029715	0	0.814172	0.102446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_076_SRF_0.22-3_G	TARA_076_SRF	Pico	SRF	Trades	SAO	-20.9354	-35.1803	5	50	23.374825	37.076575	0.055883	0	0.814172	0.055113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_078_DCM_0.22-3_G	TARA_078_DCM	Pico	DCM	Trades	SAO	-30.1551	-43.2595	120	85	19.32335	36.27746	0	0.104	0.319	0.16855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_078_SRF_0.22-3_G	TARA_078_SRF	Pico	SRF	Trades	SAO	-30.1367	-43.2899	5	89	20.07775	36.32553	0	0.026	0.749	0.066207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_082_DCM_0.22-3_G	TARA_082_DCM	Pico	DCM	Coastal	SAO	-47.2129	-58.0594	15	18	7.481658	34.0507	1.302	18.005	1.945	0.396348	0	0	0	0	0.07841091021427728	0.0016850482468419594	0.003011169579920695	0.0778096230893622	0.0011760227080207643	0.018701496601682147	0.008305872802406815	0.0012102171399131123	0	0	0	0	0	0
TARA_082_SRF_0.22-3_G	TARA_082_SRF	Pico	SRF	Coastal	SAO	-47.1847	-58.295	5	55	7.579417	34.05025	1.302	18.005	1.945	0.426587	0	0	0	0	0.07016326775757024	0.0025049274566877017	0	0.07854906465827137	0	0.016763894402174583	0.0076857738635486665	4.3583518758315173e-4	0	0	0	0	0	0
TARA_084_SRF_0.22-3_G	TARA_084_SRF	Pico	SRF	Polar	SO	-60.2287	-60.6476	5	254	1.9034	33.7198	1.723	25.3	16.55	0.207979	0	0	0	0	0	0	0	0	0	0	0.040635672160358786	0.0549000145320466	0	0	0	0	0	0
TARA_085_DCM_0.22-3_G	TARA_085_DCM	Pico	DCM	Polar	SO	-62.1832	-49.2502	90	30	-0.80475	34.363065	2.309	31	81.82	0.289537	0	0	0	0	0	0	0	0	0	0	0.002873497063445918	0	0	0	0	0	0	0
TARA_085_SRF_0.22-3_G	TARA_085_SRF	Pico	SRF	Polar	SO	-62.0349	-49.5383	5	499	0.73159	34.327465	2.1055	28.64	80.55	0.276495	0	0	0	0	0	0	0	0	0	0	0.0034227155627555104	0	0	0	0	0	0	0
TARA_093_DCM_0.22-3_G	TARA_093_DCM	Pico	DCM	Coastal	SPO	-34.0665	-73.0981	30	22	16.60395	34.284175	1.0365	5.9555	0.3855	0.477628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_093_SRF_0.22-3_G	TARA_093_SRF	Pico	SRF	Coastal	SPO	-34.0614	-73.1066	5	26	18.122955	34.31598	0.52125	0.2115	0.1445	0.361109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_094_SRF_0.22-3_G	TARA_094_SRF	Pico	SRF	Trades	SPO	-32.7971	-87.0693	5	48	21.121575	34.682538	0.2425	0.029	0.103	0.147303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_096_SRF_0.22-3_G	TARA_096_SRF	Pico	SRF	Trades	SPO	-29.7238	-101.1604	5	49	23.84533	35.76868	0.1575	NA	0.5305	0.070669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_098_DCM_0.22-3_G	TARA_098_DCM	Pico	DCM	Trades	SPO	-25.8252	-111.7757	175	69	20.352885	35.888155	0.0965	0.049	0.35	0.117421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_098_SRF_0.22-3_G	TARA_098_SRF	Pico	SRF	Trades	SPO	-26.7219	-110.0423	2	NA	25.165975	36.382975	NA	NA	NA	0.085574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_099_SRF_0.22-3_G	TARA_099_SRF	Pico	SRF	Trades	SPO	-21.146	-104.787	5	67	23.88925	36.1376	0.2975	0.0315	0.558	0.091415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_100_DCM_0.22-3_G	TARA_100_DCM	Pico	DCM	Trades	SPO	-12.9945	-95.9855	180	44	12.821535	34.83335	2.68675	23.251	20.9015	0.045442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_100_SRF_0.22-3_G	TARA_100_SRF	Pico	SRF	Trades	SPO	-13.3194	-96.4768	2	NA	25.321065	35.830755	0.67725	6.1625	1.15025	0.238694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_102_DCM_0.22-3_G	TARA_102_DCM	Pico	DCM	Trades	SPO	-5.2692	-85.2121	40	34	19.781235	34.884385	1.8615	24.3645	10.5045	0.365239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_102_SRF_0.22-3_G	TARA_102_SRF	Pico	SRF	Trades	SPO	-5.2529	-85.1545	5	24	24.958885	34.764535	1.02575	12.8225	5.04425	0.264409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_109_DCM_0.22-3_G	TARA_109_DCM	Pico	DCM	Coastal	NPO	2.0422	-84.57	30	17	25.99385	34.452685	0.50475	4.638	3.225	0.338017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_109_SRF_0.22-3_G	TARA_109_SRF	Pico	SRF	Coastal	NPO	1.9928	-84.5766	5	15	27.497475	33.472445	0.2865	0.8935	1.7085	0.272009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_110_DCM_0.22-3_G	TARA_110_DCM	Pico	DCM	Trades	SPO	-1.9245	-84.6182	50	26	22.039785	35.112815	0.9295	10.701	5.407	0.282031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_110_SRF_0.22-3_G	TARA_110_SRF	Pico	SRF	Trades	SPO	-2.0133	-84.589	5	33	23.88816	35.012435	0.77275	8.287	3.8635	0.246175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_111_DCM_0.22-3_G	TARA_111_DCM	Pico	DCM	Trades	SPO	-16.9559	-100.7138	90	73	19.823695	35.69578	0.443	1.2215	0.9285	0.204542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_111_SRF_0.22-3_G	TARA_111_SRF	Pico	SRF	Trades	SPO	-16.9604	-100.6302	5	73	22.78183	35.98269	0.5	2.676	1.0325	0.154999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_112_DCM_0.22-3_G	TARA_112_DCM	Pico	DCM	Trades	SPO	-23.2488	-129.4608	165	127	21.65917	35.90061	0.115	0.0535	0.6795	0.136066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_112_SRF_0.22-3_G	TARA_112_SRF	Pico	SRF	Trades	SPO	-23.2811	-129.3947	5	134	24.26287	36.43917	0.14225	0.02525	0.7425	0.055382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_122_DCM_0.22-3_G	TARA_122_DCM	Pico	DCM	Trades	SPO	-8.9966	-139.202	115	106	24.778725	36.065045	0.582933	2.67775	1.907042	0.198146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
