ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_067_SRF_0.22-0.45_G_C17442180_1_gene509279	TARA_067_SRF_0.22-0.45_G_C17242166_1_gene403688	TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069
TARA_025_DCM_0.22-1.6_G	TARA_025_DCM	Pico	DCM	Westerlies	MS	39.4085	19.3807	50	31	15.181967	38.489083	NA	0.3595	1.354	0.134028	0	0	0	0	0
TARA_025_SRF_0.22-1.6_G	TARA_025_SRF	Pico	SRF	Westerlies	MS	39.3888	19.3905	5	30	18.319192	38.185333	0.00525	0.03525	1.0505	0.104797	0	0	0	0	0
TARA_030_DCM_0.22-1.6_G	TARA_030_DCM	Pico	DCM	Westerlies	MS	33.9189	32.8532	70	29	18.21473	39.20842	0	NA	0.6655	0.102631	0	0	0	0	0
TARA_030_SRF_0.22-1.6_G	TARA_030_SRF	Pico	SRF	Westerlies	MS	33.9179	32.898	5	50	20.4425	39.42311	2.5e-4	0.0455	0.816	0.067706	0	0	0	0	0
TARA_031_SRF_0.22-1.6_G	TARA_031_SRF	Pico	SRF	Coastal	RS	27.16	34.835	5	53	25.0281	39.96035	0.01225	0.036	0.8825	0.112855	0	0	0	0	0
TARA_032_DCM_0.22-1.6_G	TARA_032_DCM	Pico	DCM	Coastal	RS	23.3867	37.2133	80	101	26.12925	40.187042	0.025	NA	0.85	0.1566	0	0	0	0	0
TARA_032_SRF_0.22-1.6_G	TARA_032_SRF	Pico	SRF	Coastal	RS	23.36	37.2183	5	104	25.811708	39.7709	0.00875	0	0.8775	0.085486	0	0	0	0	0
TARA_033_SRF_0.22-1.6_G	TARA_033_SRF	Pico	SRF	Coastal	RS	21.9467	38.2517	5	56	27.3097	38.9435	0.04575	0.006	1.12025	0.150568	0	0	0	0	0
TARA_034_DCM_0.22-1.6_G	TARA_034_DCM	Pico	DCM	Coastal	RS	18.3983	39.8617	60	63	27.558763	38.895025	0.0885	0.635	1.3525	0.14795	0	0	0	0	0
TARA_034_SRF_0.22-1.6_G	TARA_034_SRF	Pico	SRF	Coastal	RS	18.3967	39.875	5	64	27.635025	38.64	0.144	0.029	2.6405	0.137257	0	0	0	0	0
TARA_036_DCM_0.22-1.6_G	TARA_036_DCM	Pico	DCM	Coastal	IO	20.8176	63.5121	20	17	25.051687	36.522781	0.431	1.115	1.4395	0.28292	0	0	0	0	0
TARA_036_SRF_0.22-1.6_G	TARA_036_SRF	Pico	SRF	Coastal	IO	20.8183	63.5047	5	18	25.681369	36.525962	0.3575	0.1415	1.143	0.205491	0	0	0	0	0
TARA_038_DCM_0.22-1.6_G	TARA_038_DCM	Pico	DCM	Trades	IO	19.0258	64.6227	25	45	25.607735	36.549506	0.417	1.858	1.625	0.185922	0	0	0	0	0
TARA_038_SRF_0.22-1.6_G	TARA_038_SRF	Pico	SRF	Trades	IO	19.0393	64.4913	5	20	26.313595	36.618044	0.337	0.4195	1.278	0.113641	0	0	0	0	0
