ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494
TARA_038_DCM_0.22-1.6_G	TARA_038_DCM	Pico	DCM	Trades	IO	19.0258	64.6227	25	45	25.607735	36.549506	0.417	1.858	1.625	0.185922	0	0	0	0	0	0	0.031254430613785654	0.0183587085665213	0.012896984142389906	0.029908368158015296	0	0	0
TARA_038_SRF_0.22-1.6_G	TARA_038_SRF	Pico	SRF	Trades	IO	19.0393	64.4913	5	20	26.313595	36.618044	0.337	0.4195	1.278	0.113641	0	0	0	0	0	0	0.06383836653384863	0	0.018612027853242206	0	0	0	0
TARA_039_DCM_0.22-1.6_G	TARA_039_DCM	Pico	DCM	Trades	IO	18.5745	66.4895	25	26	26.692435	36.40162	0.2465	0.0675	1.2415	0.196803	0	0	0	0	0	0	0.11998197559901179	0.04716601289989533	0.024319920177158443	0.04776255029133389	0	0	0
TARA_041_DCM_0.22-1.6_G	TARA_041_DCM	Pico	DCM	Trades	IO	14.56	70.0117	70	25	26.317294	36.384231	1.348	15.2	5.774	0.224545	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_041_SRF_0.22-1.6_G	TARA_041_SRF	Pico	SRF	Trades	IO	14.6067	69.9775	5	25	29.151544	36.0499	0.1565	0.057	1.3865	0.092377	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_042_DCM_0.22-1.6_G	TARA_042_DCM	Pico	DCM	Trades	IO	5.9994	73.8978	80	32	27.9561	35.044342	0.2505	0.741	2.7335	0.228999	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_042_SRF_0.22-1.6_G	TARA_042_SRF	Pico	SRF	Trades	IO	6.0001	73.8955	5	41	30.12785	34.56775	0.0765	0.022	2.171	0.080016	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_045_SRF_0.22-1.6_G	TARA_045_SRF	Pico	SRF	Trades	IO	0.0023	71.6311	5	43	30.59345	35.0481	NA	NA	NA	0.058503	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_048_SRF_0.22-1.6_G	TARA_048_SRF	Pico	SRF	Trades	IO	-9.3921	66.4236	5	18	29.818108	34.184183	0.0825	0.07475	2.22425	0.077086	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_052_DCM_0.22-1.6_G	TARA_052_DCM	Pico	DCM	Trades	IO	-16.9539	54.0073	70	57	26.129767	34.847833	0.159	0.4675	2.824	0.22414	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_052_SRF_0.22-1.6_G	TARA_052_SRF	Pico	SRF	Trades	IO	-16.957	53.9852	5	53	27.956483	34.54545	0.119	0	2.666	0.134305	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_056_SRF_0.22-3_G	TARA_056_SRF	Pico	SRF	Coastal	IO	-15.3424	43.2965	5	82	27.296125	35.0302	0	0	2.812112	0.098701	0	0	0	0	0	0	0.2792797965823715	0	0	0.0712586377647421	0	0	0
TARA_057_SRF_0.22-3_G	TARA_057_SRF	Pico	SRF	Coastal	IO	-17.0248	42.7401	5	17	26.553475	35.124517	NA	NA	NA	0.140592	0	0	0	0	0	0	0.12790128105131754	0.0559478815225727	0.030847279780904402	0.08708633828281795	0	0	0
TARA_058_DCM_0.22-3_G	TARA_058_DCM	Pico	DCM	Coastal	IO	-17.3401	42.2821	70	37	24.365844	35.1687	0	2.593819	3.856196	0.204152	0	0	0	0	0	0	0.1615702037852449	0.16566621357904224	0.08110694319304157	0.07474935327511856	0	0	0
TARA_062_SRF_0.22-3_G	TARA_062_SRF	Pico	SRF	Coastal	IO	-22.3369	40.3412	5	71	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0.1556094430868504	0.16209233134629866	0.043595261108848135	0.19478221034713855	0	0	0
TARA_064_DCM_0.22-3_G	TARA_064_DCM	Pico	DCM	Coastal	IO	-29.5022	37.9904	60	140	22.208705	35.34241	0.0815	NA	1.7455	0.145836	0	0	0	0	0	0	0.06098312865556861	0.09960223523062825	0.24042236230068825	0.15558864911131481	0	0	0
TARA_064_SRF_0.22-3_G	TARA_064_SRF	Pico	SRF	Coastal	IO	-29.5019	37.9889	5	140	22.2414	35.32467	0.084	0	1.7665	0.136664	0	0	0	0	0	0	0.09249164856173026	0.12075882651176502	0.2456050030887963	0.19456418758770425	0	0	0
TARA_065_DCM_0.22-3_G	TARA_065_DCM	Pico	DCM	Coastal	IO	-35.2421	26.3048	30	66	21.72823	35.451512	NA	NA	NA	0.177651	0	0	0	0	0	0	0.17700788433413234	0.13759607830979068	0.13808643257422962	0.17454343565744768	0	0	0
TARA_065_SRF_0.22-3_G	TARA_065_SRF	Pico	SRF	Coastal	IO	-35.1728	26.2868	5	78	21.76357	35.449638	NA	NA	NA	0.176479	0	0	0	0	0	0	0.22067282796928522	0.13382643089518234	0.1454764385155541	0.19384645968876899	0	0	0
TARA_066_DCM_0.22-3_G	TARA_066_DCM	Pico	DCM	Coastal	SAO	-34.8901	18.0459	30	67	15.014	35.32305	0.34975	3.309875	2.5895	0.221666	0	0	0	0.0042893620749517684	0	0	0.0957640823463624	0.0498249037741698	0.10630736414173829	0.11261304663274144	0	0	0
TARA_066_SRF_0.22-3_G	TARA_066_SRF	Pico	SRF	Coastal	SAO	-34.9449	17.9189	5	91	15.013362	35.3233	0.343	3.34	2.7435	0.221666	0	0	0	0.004109816241121972	0	0	0.08354519756358257	0.048782514589154155	0.07502819196327229	0.09040985945946933	0	0	0
