ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494
TARA_142_DCM_0.22-3_G	TARA_142_DCM	Pico	DCM	Coastal	NAO	25.5101	-88.383	125	151	24.961605	36.17927	NA	0.0615	1.168	0.114913	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_142_SRF_0.22-3_G	TARA_142_SRF	Pico	SRF	Coastal	NAO	25.4925	-88.3432	5	163	24.98644	36.180455	0.003	0.049	1.218	0.121596	0	0	0	0.26962429259886317	0	0	0	0	0	0	0	0	0
TARA_145_SRF_0.22-3_G	TARA_145_SRF	Pico	SRF	Westerlies	NAO	39.2305	-70.0377	5	128	13.993715	35.12152	0.33275	3.7925	2.41425	0.169817	0.0022334923462867377	0	0	0.014536215101523657	0	0.004566762803044175	0	0.0019170297832210473	0	0.0023067890922037204	0.016200938436896833	0.010626252743601173	0.0012181515891281766
TARA_146_SRF_0.22-3_G	TARA_146_SRF	Pico	SRF	Westerlies	NAO	34.6712	-71.3093	5	NA	19.312775	36.513137	NA	0.7375	0.944	0.126112	0	0	0	0	0	0	7.118950314805036e-4	0	0.009889529840201496	0.02113259668288015	0	0	0
TARA_148_SRF_0.22-3_G	TARA_148_SRF	Pico	SRF	Westerlies	NAO	31.6948	-64.2489	5	134	20.481195	36.596745	0.0015	0.1505	0.728	0.120903	0	0	0	0	0	0	0.009320454062545672	0.008599913375170767	0.01059871677112358	0.01199256987973561	0	0	0
TARA_149_SRF_0.22-3_G	TARA_149_SRF	Pico	SRF	Westerlies	NAO	34.1132	-49.9181	5	167	18.82554	36.41274	NA	NA	NA	0.156401	0	0	0	0	0	0	0	0.013161694921441024	0.032030896818906814	0.05844537139220851	0	0	0
TARA_150_DCM_0.22-3_G	TARA_150_DCM	Pico	DCM	Westerlies	NAO	35.8579	-37.17	40	106	17.585567	36.285033	0	0.1745	0.8423	0.21402	0	0	0	0	0	0	0.011800002985078552	0.010573270206445046	0.03373549145769991	0.05507418017548872	0	0	0
TARA_150_SRF_0.22-3_G	TARA_150_SRF	Pico	SRF	Westerlies	NAO	35.9346	-37.3032	5	77	17.627142	36.285292	0.0055	0.1695	0.8358	0.191003	0	0	0	0	0	0	0.018481652293321764	0	0.033646205783814276	0.05296701171302652	0	0	0
TARA_151_DCM_0.22-3_G	TARA_151_DCM	Pico	DCM	Westerlies	NAO	36.1375	-28.935	70	56	16.8858	36.20373	0.0115	0.0445	0.633	0.164878	0	0	0	0.21141786201898868	0	8.273461290745038e-4	0	0	0	0	0	0	0
TARA_151_SRF_0.22-3_G	TARA_151_SRF	Pico	SRF	Westerlies	NAO	36.1715	-29.023	5	56	17.303005	36.229605	0.0125	NA	0.6545	0.111686	0	0	0	0.25325856645123923	0	0.0025990550954644123	0	0	0	0	0	0.0012589585253024167	0
TARA_152_SRF_0.22-3_G	TARA_152_SRF	Pico	SRF	Westerlies	NAO	43.517	-16.8449	2	NA	14.31916	35.99002	0.1595	2.159	1.236	0.200059	0	0	0	0	0	0	0	0	0	0	0	0.21373560790957424	0
TARA_155_DCM_0.22-3_G	TARA_155_DCM	Pico	DCM	Westerlies	NAO	54.5746	-16.8264	40	32	10.876965	35.33752	0.566253	10.158	3.554362	0.634817	0	0	0	0	0	0.008556270483024576	0	0	0	0	0.057636432914954176	0.163437259763673	0.06671853769501326
TARA_155_SRF_0.22-3_G	TARA_155_SRF	Pico	SRF	Westerlies	NAO	54.5305	-16.9377	5	64	11.09547	35.32522	0.401861	8.035625	0.967928	0.772148	0	0	0	0.003227755974535313	0	0.008502025704704711	0	0	0	0	0.05664198376196049	0.11633518247196876	0.059086736795983544
TARA_158_DCM_0.22-3_G	TARA_158_DCM	Pico	DCM	Polar	AO	67.1178	0.369	25	10	6.73489	35.15072	0.709183	11.784	4.95809	0.764172	0.0010346081946418994	0	0	0	0.0011270105296430134	9.310017225798233e-4	0	0	0	0	0.08466135128936383	0.00474617661703182	0.13002734129829555
TARA_158_SRF_0.22-3_G	TARA_158_SRF	Pico	SRF	Polar	AO	67.141	0.2355	5	11	8.47447	35.145165	0.356899	5.1155	4.012069	1.174328	0	0	0	0	0	0	0	0	0	0	0.059752941395745274	0.004501750370146929	0.09205887528390468
TARA_163_SRF_0.22-3_G	TARA_163_SRF	Pico	SRF	Polar	AO	76.1804	1.3093	5	111	1.899612	34.888656	0.290483	2.7725	4.18531	2.780097	0	0	0	0	0	0	0	0	0	0	0.006738817279073367	0	0.012126643751521766
TARA_168_DCM_0.22-3_G	TARA_168_DCM	Pico	DCM	Polar	AO	72.5869	44.1285	40	19	3.824545	34.975345	0.098435	0.821	1.135333	1.1063	5.791418700411579e-4	0	0	0	0	9.032183053993828e-4	0	0	0	0	0.008035674306225767	0.00518720808595939	0.0036276141744029616
TARA_168_SRF_0.22-3_G	TARA_168_SRF	Pico	SRF	Polar	AO	72.5128	44.0775	5	15	7.48766	34.92331	0	0.0595	1.725127	0.825342	0	0	0	0	0	0.008173353744121982	0	0	0	0	0.028809408348288986	0.03454311184862514	0.005823248383977345
TARA_173_DCM_0.22-3_G	TARA_173_DCM	Pico	DCM	Polar	AO	78.9537	79.3788	35	15	-1.29785	34.4561	0.209065	1.709	0.231772	2.003142	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_173_SRF_0.22-3_G	TARA_173_SRF	Pico	SRF	Polar	AO	78.9564	79.4201	5	15	-0.160312	33.613775	0.056871	0.441	0.273079	0.417069	0	0	0	0	0	0	0	0	0	0	0	0	0.0019171161230375632
TARA_175_SRF_0.22-3_G	TARA_175_SRF	Pico	SRF	Polar	AO	79.2233	66.3435	5	374	1.365705	34.264755	0.063634	0.3685	0.523062	1.019477	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_178_SRF_0.22-3_G	TARA_178_SRF	Pico	SRF	Polar	AO	77.1604	73.2057	5	16	1.325833	34.142392	0.047034	0.278	0.244154	0.119264	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_180_SRF_0.22-3_G	TARA_180_SRF	Pico	SRF	Polar	AO	74.8023	76.1478	5	11	2.507887	22.980169	0.23830200000000001	0.247333	11.775524	0.547446	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_188_DCM_0.22-3_G	TARA_188_DCM	Pico	DCM	Polar	AO	78.2528	91.8537	15	27	-1.680906	33.065344	0.298947	1.2055	0.705547	1.427906	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_188_SRF_0.22-3_G	TARA_188_SRF	Pico	SRF	Polar	AO	78.2518	91.8557	5	27	-1.649738	32.950844	0.216027	0.513	0.465648	1.417326	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_189_DCM_0.22-3_G	TARA_189_DCM	Pico	DCM	Polar	AO	77.9401	116.9045	35	150	-1.53759	33.76046	NA	NA	NA	0.641276	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_189_SRF_0.22-3_G	TARA_189_SRF	Pico	SRF	Polar	AO	77.9028	117.1545	5	150	0.10149	28.82053	NA	NA	NA	0.815481	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_191_SRF_0.22-3_G	TARA_191_SRF	Pico	SRF	Polar	AO	71.5948	160.9381	5	20	1.48885	28.41685	1.195806	1.06325	19.646147	0.431723	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_193_SRF_0.22-3_G	TARA_193_SRF	Pico	SRF	Polar	AO	71.0704	174.9916	5	17	2.4534	29.0291	1.614977	6.2695	30.149509	0.58652	0	0	0	0	0	0	0	0	0	0	0	0	0.0015081473885721892
TARA_194_DCM_0.22-3_G	TARA_194_DCM	Pico	DCM	Polar	AO	73.3824	-168.5345	35	14	-0.987833	31.56495	0.866194	1.9045	5.566842	0.544297	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_194_SRF_0.22-3_G	TARA_194_SRF	Pico	SRF	Polar	AO	73.3833	-168.1333	5	33	-0.585333	27.442	0.361653	0.2285	1.424261	0.404899	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_196_SRF_0.22-3_G	TARA_196_SRF	Pico	SRF	Polar	AO	71.8895	-154.9101	5	14	2.5694	28.60925	0.430504	0.4235	2.822912	0.485962	0	0	0	0	0	0	0	0	0	0	0	0	0.10230529401713644
TARA_201_DCM_0.22-3_G	TARA_201_DCM	Pico	DCM	Polar	AO	74.305	-85.6552	35	16	-0.405775	31.887788	0.676777	2.037	3.683051	0.89624	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_201_SRF_0.22-3_G	TARA_201_SRF	Pico	SRF	Polar	AO	74.296	-85.7059	5	16	-1.53136	30.78952	0.526245	1.328	2.062045	0.718479	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_205_SRF_0.22-3_G	TARA_205_SRF	Pico	SRF	Polar	AO	72.471	-71.8887	5	239	-0.479225	31.99537	0.560568	0.411	0.298067	1.1319	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_206_SRF_0.22-3_G	TARA_206_SRF	Pico	SRF	Polar	AO	70.961	-53.6306	5	294	1.457935	32.07443	0.220883	1.24175	1.04231	0.774682	9.426588944715122e-4	0	7.242592311898557e-4	0	0	0	0	0	0	0	0	2.884318729210997e-4	0.008343281209505204
TARA_208_SRF_0.22-3_G	TARA_208_SRF	Pico	SRF	Polar	AO	69.1136	-51.5086	5	141	3.1965	32.99175	0.312072	1.916	0.819597	0.39292	0.007613167780929426	0	0.006319411526240402	7.461188521859946e-4	0	0.002270701084661178	0	0	0	0	0.0017352062007425205	0.0010935893590273793	0.021456221020609824
TARA_209_SRF_0.22-3_G	TARA_209_SRF	Pico	SRF	Polar	AO	64.713	-53.0108	5	17	2.496125	32.603119	NA	NA	NA	0.825917	0	0	0	0	0	0	0	0	0	0	0.007217632504902323	0.0012945192557130786	0.09522189749039729
TARA_210_SRF_0.22-3_G	TARA_210_SRF	Pico	SRF	Polar	AO	61.5442	-55.9865	5	147	5.295265	34.212769	0.511975	5.8035	2.252584	0.613636	0	0	0	0	0	0	0	0	0	0	0.013252230022465195	0	0.12765325528872107
TARA_022_SRF_lt-0.22_G	TARA_022_SRF	Virome	SRF	Westerlies	MS	39.8386	17.4155	5	48	17.298758	37.839767	0.0133	0.23125	1.9913	0.155586	0	0	0	0.18612556074205266	0	0	0	0.2725459733515743	0.07084801210090545	0	0	0	0
TARA_023_DCM_lt-0.22_G	TARA_023_DCM	Virome	DCM	Westerlies	MS	42.1735	17.7252	55	12	15.180558	38.47375	0.012	0.05	1.0505	0.136877	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_025_DCM_lt-0.22_G	TARA_025_DCM	Virome	DCM	Westerlies	MS	39.4085	19.3807	50	31	15.181967	38.489083	NA	0.3595	1.354	0.134028	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_025_SRF_lt-0.22_G	TARA_025_SRF	Virome	SRF	Westerlies	MS	39.3888	19.3905	5	30	18.319192	38.185333	0.00525	0.03525	1.0505	0.104797	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_031_SRF_lt-0.22_G	TARA_031_SRF	Virome	SRF	Coastal	RS	27.16	34.835	5	53	25.0281	39.96035	0.01225	0.036	0.8825	0.112855	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_032_SRF_lt-0.22_G	TARA_032_SRF	Virome	SRF	Coastal	RS	23.36	37.2183	5	104	25.811708	39.7709	0.00875	0	0.8775	0.085486	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_033_SRF_lt-0.22_G	TARA_033_SRF	Virome	SRF	Coastal	RS	21.9467	38.2517	5	56	27.3097	38.9435	0.04575	0.006	1.12025	0.150568	0	0	0	0	0	0	0	0	0	0.0314613100600984	0	0	0
TARA_034_DCM_lt-0.22_G	TARA_034_DCM	Virome	DCM	Coastal	RS	18.3983	39.8617	60	63	27.558763	38.895025	0.0885	0.635	1.3525	0.14795	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_034_SRF_0.1-0.22_G	TARA_034_SRF	Virome	SRF	Coastal	RS	18.3967	39.875	5	64	27.635025	38.64	0.144	0.029	2.6405	0.137257	0	0	0	0	0	0	0	0	0.008846009248759163	0	0	0	0
TARA_034_SRF_lt-0.22_G	TARA_034_SRF	Virome	SRF	Coastal	RS	18.3967	39.875	5	64	27.635025	38.64	0.144	0.029	2.6405	0.137257	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_036_DCM_lt-0.22_G	TARA_036_DCM	Virome	DCM	Coastal	IO	20.8176	63.5121	20	17	25.051687	36.522781	0.431	1.115	1.4395	0.28292	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_036_SRF_0.1-0.22_G	TARA_036_SRF	Virome	SRF	Coastal	IO	20.8183	63.5047	5	18	25.681369	36.525962	0.3575	0.1415	1.143	0.205491	0	0	0	0	0	0	0.40495255510106865	0	0	0.12813729959984768	0	0	0
TARA_036_SRF_lt-0.22_G	TARA_036_SRF	Virome	SRF	Coastal	IO	20.8183	63.5047	5	18	25.681369	36.525962	0.3575	0.1415	1.143	0.205491	0	0	0	0	0	0	0	0	1	0	0	0	0
TARA_038_DCM_lt-0.22_G	TARA_038_DCM	Virome	DCM	Trades	IO	19.0258	64.6227	25	45	25.607735	36.549506	0.417	1.858	1.625	0.185922	0	0	0	0	0	0	0	0.046758826224140085	0.016090537259483523	0	0	0	0
TARA_038_SRF_0.1-0.22_G	TARA_038_SRF	Virome	SRF	Trades	IO	19.0393	64.4913	5	20	26.313595	36.618044	0.337	0.4195	1.278	0.113641	0	0	0	0	0	0	0	0	0.020401228841056704	0.10386473073105777	0	0	0
TARA_038_SRF_lt-0.22_G	TARA_038_SRF	Virome	SRF	Trades	IO	19.0393	64.4913	5	20	26.313595	36.618044	0.337	0.4195	1.278	0.113641	0	0	0	0	0	0	0	0	0.052859085138550345	0.032291766727812345	0	0	0
TARA_039_DCM_lt-0.22_G	TARA_039_DCM	Virome	DCM	Trades	IO	18.5745	66.4895	25	26	26.692435	36.40162	0.2465	0.0675	1.2415	0.196803	0	0	0	0	0	0	0.1786157391681232	0.1861047461413707	0.09049334565090734	0	0	0	0
TARA_039_SRF_0.1-0.22_G	TARA_039_SRF	Virome	SRF	Trades	IO	18.5918	66.622	5	28	27.089113	36.310588	0.2335	0.0425	1.515	0.115273	0	0	0	0	0	0	0.16535416751417065	0	0.17356783858023336	0	0	0	0
TARA_039_SRF_lt-0.22_G	TARA_039_SRF	Virome	SRF	Trades	IO	18.5918	66.622	5	28	27.089113	36.310588	0.2335	0.0425	1.515	0.115273	0	0	0	0	0	0	0.18556799381772177	0	0.04487179469021752	0	0	0	0
TARA_041_DCM_lt-0.22_G	TARA_041_DCM	Virome	DCM	Trades	IO	14.56	70.0117	70	25	26.317294	36.384231	1.348	15.2	5.774	0.224545	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_041_SRF_lt-0.22_G	TARA_041_SRF	Virome	SRF	Trades	IO	14.6067	69.9775	5	25	29.151544	36.0499	0.1565	0.057	1.3865	0.092377	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_042_DCM_lt-0.22_G	TARA_042_DCM	Virome	DCM	Trades	IO	5.9994	73.8978	80	32	27.9561	35.044342	0.2505	0.741	2.7335	0.228999	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_042_SRF_lt-0.22_G	TARA_042_SRF	Virome	SRF	Trades	IO	6.0001	73.8955	5	41	30.12785	34.56775	0.0765	0.022	2.171	0.080016	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_046_SRF_lt-0.22_G	TARA_046_SRF	Virome	SRF	Trades	IO	-0.6625	73.161	5	23	30.12475	35.1113	0.102	0.047	1.947	0.148923	0	0	0	0	0	0	0.07459312765268382	0.4634047144946243	0	0.46200215785269194	0	0	0
TARA_048_SRF_0.1-0.22_G	TARA_048_SRF	Virome	SRF	Trades	IO	-9.3921	66.4236	5	18	29.818108	34.184183	0.0825	0.07475	2.22425	0.077086	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_048_SRF_lt-0.22_G	TARA_048_SRF	Virome	SRF	Trades	IO	-9.3921	66.4236	5	18	29.818108	34.184183	0.0825	0.07475	2.22425	0.077086	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_052_DCM_lt-0.22_G	TARA_052_DCM	Virome	DCM	Trades	IO	-16.9539	54.0073	70	57	26.129767	34.847833	0.159	0.4675	2.824	0.22414	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_052_SRF_lt-0.22_G	TARA_052_SRF	Virome	SRF	Trades	IO	-16.957	53.9852	5	53	27.956483	34.54545	0.119	0	2.666	0.134305	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_056_SRF_lt-0.22_G	TARA_056_SRF	Virome	SRF	Coastal	IO	-15.3424	43.2965	5	82	27.296125	35.0302	0	0	2.812112	0.098701	0	0	0	0	0	0	0	0	1	0	0	0	0
TARA_058_DCM_lt-0.22_G	TARA_058_DCM	Virome	DCM	Coastal	IO	-17.3401	42.2821	70	37	24.365844	35.1687	0	2.593819	3.856196	0.204152	0	0	0	0	0	0	0.34115523465703956	0.6588447653429604	0	0	0	0	0
TARA_062_SRF_lt-0.22_G	TARA_062_SRF	Virome	SRF	Coastal	IO	-22.3369	40.3412	5	71	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0.269206860468832	0	0	0	0
TARA_064_DCM_0.1-0.22_G	TARA_064_DCM	Virome	DCM	Coastal	IO	-29.5022	37.9904	60	140	22.208705	35.34241	0.0815	NA	1.7455	0.145836	0	0	0	0	0	0	0.09697366476925305	0.081732186431338	0.16441041467888307	0.15266367524600544	0	0	0
TARA_064_DCM_lt-0.22_G	TARA_064_DCM	Virome	DCM	Coastal	IO	-29.5022	37.9904	60	140	22.208705	35.34241	0.0815	NA	1.7455	0.145836	0	0	0	0	0	0	0	0.10871811507531673	0.2593000835122141	0.20371358019531488	0	0	0
TARA_064_SRF_lt-0.22_G	TARA_064_SRF	Virome	SRF	Coastal	IO	-29.5019	37.9889	5	140	22.2414	35.32467	0.084	0	1.7665	0.136664	0	0	0	0	0	0	0.17072970006998778	0.12010830091972112	0.3142039566418522	0.21391872800157033	0	0	0
TARA_065_DCM_0.1-0.22_G	TARA_065_DCM	Virome	DCM	Coastal	IO	-35.2421	26.3048	30	66	21.72823	35.451512	NA	NA	NA	0.177651	0	0	0	0	0	0	0.27027985961825773	0.15089298308435667	0.12402113894763599	0.2050710585121114	0	0	0
TARA_065_DCM_lt-0.22_G	TARA_065_DCM	Virome	DCM	Coastal	IO	-35.2421	26.3048	30	66	21.72823	35.451512	NA	NA	NA	0.177651	0	0.016093643929872063	0	0.0017448027050634529	0.0021179481986563246	0.003152541251194189	0.23911038666857387	0.15701490377200786	0.12228443498701042	0.18376751149410062	0	0	5.636619128370587e-4
TARA_065_SRF_0.1-0.22_G	TARA_065_SRF	Virome	SRF	Coastal	IO	-35.1728	26.2868	5	78	21.76357	35.449638	NA	NA	NA	0.176479	0	0	0	0	0	0	0.279361988371686	0.15756972426473673	0.14281083345354317	0.21778019683629915	0	0	0
TARA_065_SRF_lt-0.22_G	TARA_065_SRF	Virome	SRF	Coastal	IO	-35.1728	26.2868	5	78	21.76357	35.449638	NA	NA	NA	0.176479	0	0	0	0	0	0	0.20180225859747938	0.1603092342200226	0.14735366589909646	0.27320480605338404	0	0	0
TARA_066_DCM_lt-0.22_G	TARA_066_DCM	Virome	DCM	Coastal	SAO	-34.8901	18.0459	30	67	15.014	35.32305	0.34975	3.309875	2.5895	0.221666	0	0	0	0.0020853854798888187	0	0	0.07675167194519551	0.04054543803901254	0.047909174369512586	0.053655905814957966	0	0	0
TARA_066_SRF_lt-0.22_G	TARA_066_SRF	Virome	SRF	Coastal	SAO	-34.9449	17.9189	5	91	15.013362	35.3233	0.343	3.34	2.7435	0.221666	0	0	0	0.011615584808917424	0	0	0.052409728241020775	0.05021432278121014	0.06326861532173672	0.08212199082667798	0	0	0
TARA_067_SRF_lt-0.22_G	TARA_067_SRF	Virome	SRF	Coastal	SAO	-32.2401	17.7103	5	25	13.04322	34.870735	NA	NA	NA	0.765222	8.721549984118157e-4	0.08650706116917725	0	0.004697906609312361	0.01971121378571467	0.03450480135752583	0	0	0	0	0	0.0034371339440969714	0.009683162074424717
TARA_068_DCM_lt-0.22_G	TARA_068_DCM	Virome	DCM	Trades	SAO	-31.0616	4.6617	40	210	16.75627	35.68462	0.227	1.08	2.436	0.355259	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_068_SRF_lt-0.22_G	TARA_068_SRF	Virome	SRF	Trades	SAO	-31.0616	4.6617	5	210	16.86368	35.686225	0.1455	0.939	1.9865	0.316174	0	0	0	0	0	0	0	0	0.03151492789140778	0	0	0	0
TARA_070_SRF_lt-0.22_G	TARA_070_SRF	Virome	SRF	Trades	SAO	-20.4091	-3.1759	5	149	19.77001	36.35839	0.309	0.8015	1.1485	0.117466	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_072_DCM_lt-0.22_G	TARA_072_DCM	Virome	DCM	Trades	SAO	-8.7026	-17.9398	100	88	23.635845	36.60243	0.143	0.044	1.284	0.244384	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_072_SRF_lt-0.22_G	TARA_072_SRF	Virome	SRF	Trades	SAO	-8.8118	-17.9126	5	86	25.064425	36.41678	0.104	0.018	0.868	0.104143	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_076_DCM_lt-0.22_G	TARA_076_DCM	Virome	DCM	Trades	SAO	-20.999	-35.3216	130	31	22.233095	36.87312	0.029715	0	0.814172	0.102446	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_076_SRF_lt-0.22_G	TARA_076_SRF	Virome	SRF	Trades	SAO	-20.9354	-35.1803	5	50	23.374825	37.076575	0.055883	0	0.814172	0.055113	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_078_DCM_lt-0.22_G	TARA_078_DCM	Virome	DCM	Trades	SAO	-30.1551	-43.2595	120	85	19.32335	36.27746	0	0.104	0.319	0.16855	0	0	0	0	0	0	0	0	0.38159295998183523	0.2690433084792878	0	0	0
TARA_082_SRF_lt-0.22_G	TARA_082_SRF	Virome	SRF	Coastal	SAO	-47.1847	-58.295	5	55	7.579417	34.05025	1.302	18.005	1.945	0.426587	0	0.004208802021594975	0	0	0	0.028959444150154296	0	0	0	0	0	0	0
TARA_085_DCM_lt-0.22_G	TARA_085_DCM	Virome	DCM	Polar	SO	-62.1832	-49.2502	90	30	-0.80475	34.363065	2.309	31	81.82	0.289537	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_100_DCM_lt-0.22_G	TARA_100_DCM	Virome	DCM	Trades	SPO	-12.9945	-95.9855	180	44	12.821535	34.83335	2.68675	23.251	20.9015	0.045442	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_102_DCM_lt-0.22_G	TARA_102_DCM	Virome	DCM	Trades	SPO	-5.2692	-85.2121	40	34	19.781235	34.884385	1.8615	24.3645	10.5045	0.365239	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_109_DCM_lt-0.22_G	TARA_109_DCM	Virome	DCM	Coastal	NPO	2.0422	-84.57	30	17	25.99385	34.452685	0.50475	4.638	3.225	0.338017	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_109_SRF_lt-0.22_G	TARA_109_SRF	Virome	SRF	Coastal	NPO	1.9928	-84.5766	5	15	27.497475	33.472445	0.2865	0.8935	1.7085	0.272009	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_122_DCM_0.1-0.22_G	TARA_122_DCM	Virome	DCM	Trades	SPO	-8.9966	-139.202	115	106	24.778725	36.065045	0.582933	2.67775	1.907042	0.198146	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_122_DCM_lt-0.22_G	TARA_122_DCM	Virome	DCM	Trades	SPO	-8.9966	-139.202	115	106	24.778725	36.065045	0.582933	2.67775	1.907042	0.198146	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_122_SRF_0.1-0.22_G	TARA_122_SRF	Virome	SRF	Trades	SPO	-8.9971	-139.1963	5	102	26.60467	35.37032	0.56795	5.456	2.1905	0.177137	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_122_SRF_lt-0.22_G	TARA_122_SRF	Virome	SRF	Trades	SPO	-8.9971	-139.1963	5	102	26.60467	35.37032	0.56795	5.456	2.1905	0.177137	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_123_SRF_lt-0.22_G	TARA_123_SRF	Virome	SRF	Trades	SPO	-8.9068	-140.283	5	122	26.586685	35.3551	0.53495	4.9015	2.2205	0.181215	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_124_SRF_0.1-0.22_G	TARA_124_SRF	Virome	SRF	Trades	SPO	-8.8517	-140.5782	5	105	26.572419	35.384031	0.63025	6.2015	2.53325	0.261381	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_124_SRF_lt-0.22_G	TARA_124_SRF	Virome	SRF	Trades	SPO	-8.8517	-140.5782	5	105	26.572419	35.384031	0.63025	6.2015	2.53325	0.261381	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_125_SRF_0.1-0.22_G	TARA_125_SRF	Virome	SRF	Trades	SPO	-8.9111	-142.5571	5	109	26.80604	35.42651	0.55725	3.7335	1.80475	0.178072	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_125_SRF_lt-0.22_G	TARA_125_SRF	Virome	SRF	Trades	SPO	-8.9111	-142.5571	5	109	26.80604	35.42651	0.55725	3.7335	1.80475	0.178072	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_137_DCM_lt-0.22_G	TARA_137_DCM	Virome	DCM	Trades	NPO	14.1749	-116.7071	100	28	13.066005	34.682975	2.655	24.1655	30.188	0.140964	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_137_SRF_lt-0.22_G	TARA_137_SRF	Virome	SRF	Trades	NPO	14.2022	-116.6291	5	29	26.478605	33.84798	0.456	2.444	2.538	0.251665	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_138_DCM_lt-0.22_G	TARA_138_DCM	Virome	DCM	Trades	NPO	6.3094	-102.9606	60	43	19.279945	34.616675	1.108	12.904	8.073	0.22573	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_138_SRF_lt-0.22_G	TARA_138_SRF	Virome	SRF	Trades	NPO	6.3332	-102.9432	5	45	26.605515	33.52041	0.1575	0.002	1.1855	0.125361	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_155_DCM_lt-0.22_G	TARA_155_DCM	Virome	DCM	Westerlies	NAO	54.5746	-16.8264	40	32	10.876965	35.33752	0.566253	10.158	3.554362	0.634817	0	0	0.01699188829979015	0	0	0	0	0	0	0	0	0.011771603296139048	0
